userId,movieId,rating
1,16,4
1,24,1.5
1,32,4
1,47,4
1,50,4
1,110,4
1,150,3
1,161,4
1,165,3
1,204,0.5
1,223,4
1,256,0.5
1,260,4.5
1,261,1.5
1,277,0.5
1,296,4
1,318,4
1,349,4.5
1,356,3
1,377,2.5
1,380,3
1,457,4
1,480,3.5
1,527,4.5
1,589,3.5
1,590,3.5
1,592,2.5
1,593,5
1,597,3
1,608,3.5
1,648,3.5
1,719,0.5
1,724,3.5
1,736,3
1,780,3.5
1,858,5
1,912,5
1,968,4.5
1,1061,4
1,1089,4.5
1,1136,5
1,1196,4.5
1,1198,4
1,1210,4.5
1,1213,5
1,1220,4
1,1221,5
1,1222,5
1,1233,4.5
1,1243,3.5
1,1258,4.5
1,1265,3
1,1267,4
1,1270,3
1,1287,4.5
1,1580,3.5
1,1617,3.5
1,1721,1.5
1,1923,1.5
1,1961,3
1,2021,4
1,2028,4.5
1,2105,1.5
1,2161,1.5
1,2194,4.5
1,2396,4
1,2407,2.5
1,2455,2
1,2467,4.5
1,2502,4
1,2542,4.5
1,2571,4.5
1,2628,3
1,2716,3.5
1,2728,5
1,2762,3
1,2858,4
1,2947,3.5
1,2959,5
1,3256,5
1,3421,4.5
1,3578,4
1,4011,4.5
1,4027,3.5
1,4033,3.5
1,4085,3.5
1,4262,5
1,4306,4
1,4963,3.5
1,4993,4.5
1,4995,4
1,5349,3
1,5378,3.5
1,5418,4
1,5445,3.5
1,5952,4.5
1,6365,4.5
1,6711,3.5
1,6807,4
1,7153,4.5
1,8825,2.5
1,8961,4
1,32587,4.5
1,33493,4.5
1,33794,4.5
1,33834,4.5
1,45950,0.5
1,48516,5
1,48780,4
1,49272,3.5
1,52973,3.5
1,54286,4
1,57949,0.5
2,1,5
2,3,2
2,5,3
2,14,4
2,17,5
2,25,3
2,32,3
2,36,5
2,52,4
2,58,4
2,62,5
2,79,4
2,95,4
2,112,3
2,260,4
2,376,4
2,494,4
2,608,5
2,637,3
2,648,4
2,661,4
2,736,4
2,780,4
2,784,2
2,788,4
2,802,4
2,805,5
2,1073,4
2,1356,4
3,5,3
3,7,3
3,11,4
3,21,5
3,34,5
3,36,4
3,39,4
3,45,5
3,50,5
3,105,3
3,141,3
3,144,4
3,150,4
3,165,3
3,185,3
3,222,5
3,223,5
3,232,4
3,246,5
3,261,3
3,272,5
3,277,4
3,281,3
3,292,3
3,296,5
3,300,4
3,339,3
3,342,5
3,345,5
3,348,3
3,349,3
3,350,3
3,356,3
3,357,4
3,367,4
3,368,3
3,373,3
3,377,3
3,380,3
3,410,3
3,417,4
3,454,3
3,457,4
3,471,3
3,477,4
3,480,4
3,485,3
3,497,4
3,500,4
3,508,3
3,509,5
3,515,5
3,527,4
3,529,5
3,532,3
3,537,3
3,538,4
3,539,3
3,586,4
3,587,3
3,588,3
3,589,3
3,590,4
3,592,3
3,593,5
3,595,4
3,597,3
3,608,5
3,613,4
3,648,4
3,736,3
3,800,5
3,1161,4
4,30,4
4,32,5
4,111,4
4,154,4
4,213,4
4,296,4
4,306,5
4,307,5
4,308,5
4,318,4
4,509,3
4,527,4
4,573,4
4,593,4
4,608,4
4,858,5
4,898,4
4,899,5
4,904,4
4,905,5
4,909,4
4,910,5
4,912,5
4,913,5
4,916,4
4,919,5
4,922,5
4,928,4
4,936,4
4,937,5
4,940,5
4,943,4
4,945,4
4,946,4
4,947,4
4,951,5
4,1085,5
4,1094,4
4,1176,4
4,1185,4
4,1186,3
4,1196,4
4,1203,5
4,1204,5
4,1207,5
4,1209,4
4,1219,3
4,1224,4
4,1225,5
4,1230,4
4,1233,5
4,1244,4
4,1247,4
4,1250,5
4,1252,4
4,1254,5
4,1256,5
4,1267,3
4,1276,5
4,1277,4
4,1281,5
4,1283,4
4,1284,4
4,1296,4
4,1333,3
4,1358,4
4,1392,4
4,1412,4
4,1446,4
4,1511,3
4,1617,4
4,1633,5
4,1719,5
4,1732,2
4,1734,4
4,1931,4
4,1936,5
4,1944,3
4,1945,4
4,1948,4
4,1949,5
4,1997,5
4,2019,4
4,2132,5
4,2160,4
4,2186,4
4,2212,4
4,2301,3
4,2324,5
4,2622,4
4,2629,4
4,2671,4
4,2683,1
4,2687,5
4,2690,4
4,2692,4
4,2713,2
4,2723,2
4,2724,3
4,2725,5
4,2728,5
4,2739,5
4,2759,3
4,2761,4
4,2763,4
